id,driver_id,grand_prix,race_id,session_date,message_timestamp,transcription,matched_categories
2018_Australian_Grand_Prix_DANRIC01_3_20180325_170323,DANRIC01,2018 Australian Grand Prix,2018_Australian_Grand_Prix,2018-03-25,2018-03-25T06:03:31.886Z,"Two cars ahead, older tyres. Safety car is entering the pit lane now. Safety car is in this lap.",TYRE_GRIP_DEGRADATION
2018_Australian_Grand_Prix_DANRIC01_3_20180325_170519,DANRIC01,2018 Australian Grand Prix,2018_Australian_Grand_Prix,2018-03-25,2018-03-25T06:05:31.913Z,"Okay, so these tyres are going to be fine to the end. You did 26 laps on the first stint. Wear was good. These tyres will be good.",TYRE_GRIP_DEGRADATION
2018_Australian_Grand_Prix_FERALO01_14_20180325_162140,FERALO01,2018 Australian Grand Prix,2018_Australian_Grand_Prix,2018-03-25,2018-03-25T05:21:48.773Z,"Okay mate, struggling with the grip, we'll back off a little bit. All fine.",TYRE_GRIP_DEGRADATION
2018_Australian_Grand_Prix_FERALO01_14_20180325_163419,FERALO01,2018 Australian Grand Prix,2018_Australian_Grand_Prix,2018-03-25,2018-03-25T05:34:35.102Z,"I cannot see the pit door. Hold for another three seconds maybe. Tires are okay. From left, giving up a little bit, but all under control.",TYRE_GRIP_DEGRADATION
2018_Australian_Grand_Prix_KIMRAI01_7_20180325_162733,KIMRAI01,2018 Australian Grand Prix,2018_Australian_Grand_Prix,2018-03-25,2018-03-25T05:27:43.498Z,"Engine five, Kimi, engine five. Try to close, try to close.",MECHANICAL_OTHER
2018_Australian_Grand_Prix_LANSTR01_18_20180325_163831,LANSTR01,2018 Australian Grand Prix,2018_Australian_Grand_Prix,2018-03-25,2018-03-25T05:38:43.605Z,"Leclerc is closing on you, huh? Okay, but I'm circling fast with the oversteer.",EXIT_TRACTION_REAR
2018_Australian_Grand_Prix_LEWHAM01_44_20180325_171928,LEWHAM01,2018 Australian Grand Prix,2018_Australian_Grand_Prix,2018-03-25,2018-03-25T06:19:37.294Z,What's that? We need to have some lift and coast for PU temperatures.,MECHANICAL_OTHER
2018_Australian_Grand_Prix_LEWHAM01_44_20180325_173536,LEWHAM01,2018 Australian Grand Prix,2018_Australian_Grand_Prix,2018-03-25,2018-03-25T06:35:42.191Z,My rears are going off.,EXIT_TRACTION_REAR
2018_Australian_Grand_Prix_MAXVER01_33_20180325_163337,MAXVER01,2018 Australian Grand Prix,2018_Australian_Grand_Prix,2018-03-25,2018-03-25T05:33:59.63Z,"Okay, Max, can we have a status update please? Yeah, the rear tires are getting really hot, but that's a bit my problem. I've to close all the tools. And can I have a prompting update when you can? Yeah, a little bit less, half a degree or something. Understood.",EXIT_TRACTION_REAR|TYRE_GRIP_DEGRADATION
2018_Australian_Grand_Prix_MAXVER01_33_20180325_163900,MAXVER01,2018 Australian Grand Prix,2018_Australian_Grand_Prix,2018-03-25,2018-03-25T05:39:11.65Z,"Okay, so we've got reports of Holcomb complaining about his tyres. For your reference, Daniel managed to pass into 13.",TYRE_GRIP_DEGRADATION
2018_Australian_Grand_Prix_SEBVET01_5_20180325_171526,SEBVET01,2018 Australian Grand Prix,2018_Australian_Grand_Prix,2018-03-25,2018-03-25T06:15:34.719Z,Still no DRS but keep using K1. He's using also powerful engine mode on the straights.,MECHANICAL_OTHER
2018_Australian_Grand_Prix_SEBVET01_5_20180325_172625,SEBVET01,2018 Australian Grand Prix,2018_Australian_Grand_Prix,2018-03-25,2018-03-25T06:26:39.738Z,"He locked the front and he went out behind you. A brief, engine 7 available. He's still two seconds behind you.",FRONT_TURNIN_BRAKE|MECHANICAL_OTHER
2018_Australian_Grand_Prix_SERPER01_11_20180325_161855,SERPER01,2018 Australian Grand Prix,2018_Australian_Grand_Prix,2018-03-25,2018-03-25T05:19:05.695Z,Rear left temperature is now approaching our comfortable maximum. Rear left temp.,EXIT_TRACTION_REAR|MECHANICAL_OTHER
2018_Australian_Grand_Prix_VALBOT01_77_20180325_165011,VALBOT01,2018 Australian Grand Prix,2018_Australian_Grand_Prix,2018-03-25,2018-03-25T05:50:19.297Z,"So, brake balance has gone forwards, but just keep thinking about that. Really important to push out now.",FRONT_TURNIN_BRAKE
2018_Australian_Grand_Prix_VALBOT01_77_20180325_165927,VALBOT01,2018 Australian Grand Prix,2018_Australian_Grand_Prix,2018-03-25,2018-03-25T05:59:38.456Z,"So, just as a reminder, the cars in front of you are all Renault engines, so we're expecting a bigger speed delta.",FRONT_TURNIN_BRAKE|MECHANICAL_OTHER
2018_Australian_Grand_Prix_VALBOT01_77_20180325_172205,VALBOT01,2018 Australian Grand Prix,2018_Australian_Grand_Prix,2018-03-25,2018-03-25T06:22:11.189Z,We think Verstappen has some damage.,MECHANICAL_OTHER
