id,transcription,human_label
2020_British_Grand_Prix_LANNOR01_4_20200802_151536,"Lando gapped, Carlos currently 2.7. Can we make it 2? Well, I don't want to kill my front left. I don't want to just go round cruising behind him and just destroy my front left. I understand. We're trying to protect against Ricardo once he gets past Grosjean.",
2020_British_Grand_Prix_LANNOR01_4_20200802_143420,"Lando, if we can look after the front left a bit and keep Stroll behind, that will be good for us. It's going to be a struggle.",
2018_Abu_Dhabi_Grand_Prix_STOVAN01_2_20181125_170343,"So, stop. There is actually a small chance of rain in the race. Meteor France put it at 40%. I'm not sure I believe it's that high. But the fact that the wind hasn't changed direction yet is slightly unusual. And we can tell you there's very unlikely to be anything for half an hour. You're very optimistic today. Very optimistic.",
2021_Bahrain_Grand_Prix_GEORUS01_63_20210328_172607,"Engine feels poor on downshifts, pushing me forward.",
2020_Turkish_Grand_Prix_ALEALB01_23_20201115_104348,Call mode. Nice job mate.,
2021_Styrian_Grand_Prix_LEWHAM01_44_20210627_142020,"And Verstappen at 9.6, Gap at 2.9. And if you can give us a balance check when you can. Balance okay, more rear end.",
2021_Azerbaijan_Grand_Prix_NIKMAZ01_9_20210606_140941,"I overtook Hamilton when you told me, but there is no green. Copy that. Okay, you need to wait behind the safety car until the green light is shown.",
2020_70th_Anniversary_Grand_Prix_ESTOCO01_31_20200809_154930,"Copy, yeah, we couldn't keep up with Alban. It was a good decision to let him go, I think. Yeah, absolutely, mate. But overall, very well managed on your side. So well done. Okay. On yours, too. Thanks, Mark. What happened to Daniel? He was pushed into a spin by one of the McLarens, not sure which one. Yeah, so just behind that. That damaged his tyres, I believe, which meant that he had to stop again. So he actually ran three stops, four sets of tyres. But his second set, I believe, he pushed a little bit too hard or had some problems with. Okay. It was right on the edge, wasn't it, mate? But you walked the tightrope, so that was great. Yeah, it was. It was not too fun to know which one to fight with. Yeah, understood. Anyway, all good. So. When you come in.",
2021_Spanish_Grand_Prix_LEWHAM01_44_20210509_132637,Small drops of rain. It doesn't look like there's much on the radar.,
2024_Miami_Grand_Prix_OSCPIA01_81_20240505_211940,"Leclerc 0.9, turn 11, 12 with stronger gust of tailwind, same snap on the other car.",
2024_Belgian_Grand_Prix_GEORUS01_63_20240728_155412,"At the moment they're just going quick, bring quicker of the tires.",
2021_Emilia_Romagna_Grand_Prix_SEBVET01_5_20210418_160428,"Sebastian, we need to retire the car in the garage. So, box box, the gearbox is getting worse. So, just try to minimize your shift and box box.",
2018_Australian_Grand_Prix_MAXVER01_33_20180325_163337,"Okay, Max, can we have a status update please? Yeah, the rear tires are getting really hot, but that's a bit my problem. I've to close all the tools. And can I have a prompting update when you can? Yeah, a little bit less, half a degree or something. Understood.",
2021_Dutch_Grand_Prix_PIEGAS01_10_20210905_151410,"Leclerc is doing 14.9. As long as we are 3 tenths slower, no more, we are okay. So 15.1 is a good target and it's also good for tyres. 15.1, 15.1 is a good target.",
2020_Styrian_Grand_Prix_LANSTR01_18_20200712_152011,"I need engine. Copy that, Lance. Strat seven, strat seven to charge some more.",
2021_Dutch_Grand_Prix_FERALO01_14_20210905_145520,"Okay, so for info, Verstappen and Hamilton have boxed again. In a great position. The two cars in front of you still need to stop. Currently, P9. Okay, so the leaders need to come through again. Not a problem? Not a problem. Because obviously, they make us lose so much. So I don't know if there is any threat.",
2023_Abu_Dhabi_Grand_Prix_PIEGAS01_10_20231126_134113,"Where are we losing? Why are we so slow? Okay, Pierre, so we did pick up some damage with that contact with Hamilton, but we are closing on the cars in front.",
2020_Tuscan_Grand_Prix_KIMRAI01_7_20200913_150218,I have no chance because we dropped the front wing way too much.,
2024_Spanish_Grand_Prix_LANSTR01_18_20240623_151729,"Okay, that's this is lap 11. We're currently looking at plan A. Deg is good for us.",
2025_Qatar_Grand_Prix_CARSAI01_55_20251130_205254,"Podium in Qatar! What the hell? Yep. Vamos, James. Vamos, Gaydon. Great job, everyone. Strategy, mechanics, everything. Engineers, drivers. Incredible. And Carlos, next with a bit of news to you. Well done. You've just secured P5 in the Constructors' Championship first. Smooth operator. Smooth operator. If one day you try to be a Formula One driver, maybe you can start a singer area. Never know. Maybe I can be your drummer or your guitarist. I was singing quiet.",
2019_Russian_Grand_Prix_NICHUL01_27_20190929_113315,"Do you want a front wing change? No, not for now. Copy that. So driving through to do another start.",
2021_Russian_Grand_Prix_LEWHAM01_44_20210926_125344,"Silas, the rain that we're seeing on the forecast, there is a little bit that may come towards the very beginning of the race, but it may just miss us. It's sort of fizzling out, but very unpredictable at the moment.",
2020_Portuguese_Grand_Prix_KEVMAG01_20_20201025_145530,"So that's the checker, Kevin. Great job there at the end. Incredible laps. Really good pace. That was fun. Yeah, good info, mate. So, yeah, we're good on the fuel and you were still within the five seconds. So, great job there, Kevin. Great laps. Didn't get any luck on the tyre strategy, but we gave it a go and you drove really well. Good job. Yeah, thanks, mate. Kevin.",
2025_Abu_Dhabi_Grand_Prix_LANNOR01_4_20251207_182444,"Is he struggling with Brady? For Oscar, it's more the rears.",
