target_category,similarity,id,driver_id,grand_prix,transcription,human_label
FRONT_TURNIN_BRAKE,0.605,2023_Monaco_Grand_Prix_NICHUL01_27_20230528_144112,NICHUL01,2023 Monaco Grand Prix,"A lot of understeer creeping in. All speeds, but also traction getting very poor.",
FRONT_TURNIN_BRAKE,0.564,2023_Bahrain_Grand_Prix_NICHUL01_27_20230305_152700,NICHUL01,2023 Bahrain Grand Prix,When I get very close in braking the front just is like it has uplift,
FRONT_TURNIN_BRAKE,0.556,2019_Canadian_Grand_Prix_GEORUS01_63_20190609_183634,GEORUS01,2019 Canadian Grand Prix,I've got a bit of rear instability into turn 6 under braking on the entry phase. This is something I experienced a bit in P2 as well. Just lucky if there's anything we can do with tools to improve that.,
FRONT_TURNIN_BRAKE,0.524,2025_Monaco_Grand_Prix_GEORUS01_63_20250525_160515,GEORUS01,2025 Monaco Grand Prix,"It's driving dangerously slow, the slamming of the brakes at all areas. Copy that.",
FRONT_TURNIN_BRAKE,0.520,2021_Styrian_Grand_Prix_LEWHAM01_44_20210627_141517,LEWHAM01,2021 Styrian Grand Prix,"Okay, place that can prove. Standby. So, main areas: braking turn three, braking turn four.",
FRONT_TURNIN_BRAKE,0.519,2019_Brazilian_Grand_Prix_LEWHAM01_44_20191117_171148,LEWHAM01,2019 Brazilian Grand Prix,"Don't know why, but I got a big difference between the two front brakes.",
FRONT_TURNIN_BRAKE,0.516,2023_Mexico_City_Grand_Prix_NICHUL01_27_20231029_213013,NICHUL01,2023 Mexico City Grand Prix,What's going on in the rear? Sadly have a loss of rear grip.,
FRONT_TURNIN_BRAKE,0.516,2021_French_Grand_Prix_GEORUS01_63_20210620_132947,GEORUS01,2021 French Grand Prix,"On a couple of occasions, there was a bit of vibration from the front axle when braking, but nothing crazy.",
FRONT_TURNIN_BRAKE,0.514,2024_Mexico_City_Grand_Prix_LIALAW01_30_20241027_152710,LIALAW01,2024 Mexico City Grand Prix,Struggling at high speed with the front.,
FRONT_TURNIN_BRAKE,0.512,2019_Mexican_Grand_Prix_KEVMAG01_20_20191027_192529,KEVMAG01,2019 Mexican Grand Prix,"Kevin, brake balance one click forward. We have a lot of rear locking. Same pace as cars ahead. Good job. No sign of graining. No sign. Yes, understood. Rear overheating very high. Brake balance forward, if you can take it, will help. The lifting coast will help.",
