clip_filename,category,arousal_1_5,manual_transcript,notes
2018_Australian_Grand_Prix_DANRIC01_3_20180325_170323.mp3,CALM,2,"Two cars ahead, old tyres. Safety car is entering the pit lane now. Safety car is in this lap.",
2018_Australian_Grand_Prix_DANRIC01_3_20180325_170519.mp3,CALM,1,"Okay, so these tyres are going to be fine to the end. You did 26 laps on the first stint. Wear was good, these tyres will be good.",
2018_Australian_Grand_Prix_FERALO01_14_20180325_162140.mp3,ELEVATED_AROUSAL,4,"Okay mate, struggling with the grip. I will back off a little bit",
2018_Australian_Grand_Prix_FERALO01_14_20180325_163419.mp3,ELEVATED_AROUSAL,4,"I cannot see the pit board, hold for another 3 seconds maybe. Tyres are okay, front left giving up a little bit, but all under control.",
2018_Australian_Grand_Prix_KIMRAI01_7_20180325_162733.mp3,ELEVATED_AROUSAL,2,"Engine 5 Kimi, Engine 5. Try to close, try to close, try to close.",
2018_Australian_Grand_Prix_LANSTR01_18_20180325_163831.mp3,ELEVATED_AROUSAL,4,"Leclerc is closing on you, eh. Okay, but I'm struggling massively with oversteer.",
2018_Australian_Grand_Prix_LEWHAM01_44_20180325_171928.mp3,CALM,2,"What's that. We need to have some lift and coast for PU temperatures.",
2018_Australian_Grand_Prix_LEWHAM01_44_20180325_173536.mp3,ELEVATED_AROUSAL,4,"My rears are going off",
2018_Australian_Grand_Prix_MAXVER01_33_20180325_163337.mp3,ELEVATED_AROUSAL,4,"Okay Max, can we have a status update please? Yeah, the rear tyres are getting really hot, that's my main problem, that's because I'm too... And can I have a front wing update when you can? Yeah, a little bit less, half a degree or something. Understood.",flagged: may contain merged content from an adjacent clip, see chat
2018_Australian_Grand_Prix_MAXVER01_33_20180325_163900.mp3,CALM,1,"Okay, so we got reports of Hulkenberg complaining about his tyres. For your reference, Daniel managed to pass into 13.",
2018_Australian_Grand_Prix_SEBVET01_5_20180325_171526.mp3,CALM,2,"Still no DRS, but keep using K1. He's using also powerful engine mode on the straights.",
2018_Australian_Grand_Prix_SEBVET01_5_20180325_172625.mp3,CALM,2,"He locked the fronts and he went out behind you. A bit... engine 7 available... still 2 seconds behind you.",
2018_Australian_Grand_Prix_SERPER01_11_20180325_161855.mp3,CALM,2,"Rear left temperature is now approaching our comfortable maximum, rear left temp.",
2018_Australian_Grand_Prix_VALBOT01_77_20180325_165011.mp3,CALM,2,"So brake balance has gone forward, but just keep thinking about that, really important to push out now.",
2018_Australian_Grand_Prix_VALBOT01_77_20180325_165927.mp3,CALM,1,"So just as a reminder, the cars in front of you are all Renault engines, so we're expecting a bigger speed delta.",
2018_Australian_Grand_Prix_VALBOT01_77_20180325_172205.mp3,CALM,1,"We think Verstappen has some damage.",
2018_Bahrain_Grand_Prix_BREHAR01_28_20180408_181729.mp3,ELEVATED_AROUSAL,5,"Please check front left corner for damage. We can see a small aero balance rearward, but no problem with load.",
2018_Bahrain_Grand_Prix_BREHAR01_28_20180408_193433.mp3,CALM,2,"We are very happy with the tyres, we need 8 quali laps.",
2018_Bahrain_Grand_Prix_ESTOCO01_31_20180408_182653.mp3,ELEVATED_AROUSAL,3,"So temperatures all okay. I'm sliding all over the place! Use torque 8 or 9, use torque 9.",
2018_Bahrain_Grand_Prix_ESTOCO01_31_20180408_184224.mp3,CALM,2,"Where is Perez ahead? He stopped earlier with a puncture.",
